Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.167533333333
Start Frequency,10000
Stop Frequency,500000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-110.566308153409
10490,-111.681836259121
10980,-110.295159834136
11470,-110.556703670321
11960,-110.97398790088
12450,-110.650252707122
12940,-110.713188430894
13430,-110.504613281252
13920,-110.249752633038
14410,-110.563691466786
14900,-110.626749490996
15390,-110.205454565292
15880,-110.43286076681
16370,-110.040208356197
16860,-108.95261110867
17350,-109.947251109048
17840,-109.950705171653
18330,-110.039223750402
18820,-109.816574853798
19310,-109.716698274885
19800,-109.761843647931
20290,-109.963795690086
20780,-109.535203527966
21270,-109.668438435124
21760,-110.426102020935
22250,-110.137510160393
22740,-110.345182843389
23230,-110.077369706085
23720,-109.634796623286
24210,-109.213191155407
24700,-108.980502804747
25190,-109.051250751788
25680,-108.553458006423
26170,-106.153534042035
26660,-108.74255481557
27150,-108.558361749817
27640,-109.368469586579
28130,-105.040514787304
28620,-108.402052797204
29110,-108.651044717387
29600,-108.73188946063
30090,-108.466664612093
30580,-108.569538560303
31070,-109.164731290554
31560,-107.008397336064
32050,-108.84325125454
32540,-107.823155809854
33030,-108.445646808568
33520,-108.377410217998
34010,-108.322821413574
34500,-108.458846131394
34990,-108.53283229769
35480,-108.530880343941
35970,-107.084375724823
36460,-107.298772494967
36950,-108.358578165281
37440,-107.729331060755
37930,-107.428505571163
38420,-108.270375500531
38910,-107.779385665983
39400,-103.563575623394
39890,-107.513279394148
40380,-107.808684412143
40870,-107.550318775434
41360,-107.08569045039
41850,-108.201879529538
42340,-107.752042799396
42830,-107.05390981706
43320,-104.601716786408
43810,-108.556923454834
44300,-107.999560839281
44790,-107.515803642002
45280,-106.741446408581
45770,-106.381586419055
46260,-107.012614851797
46750,-107.870593156794
47240,-104.934751961491
47730,-107.858672552855
48220,-108.119532083613
48710,-108.145593359769
49200,-106.263181085927
49690,-107.768117140216
50180,-107.529896333571
50670,-107.231623933656
51160,-107.266561824827
51650,-107.196185573395
52140,-106.959705451179
52630,-106.592781553698
53120,-107.406633538428
53610,-107.310887254861
54100,-106.704398126087
54590,-107.349102518484
55080,-107.562167989925
55570,-106.899285725525
56060,-108.132309628632
56550,-107.824668247766
57040,-107.09550816516
57530,-106.70684128331
58020,-107.770095331778
58510,-107.534258890129
59000,-107.349467062182
59490,-107.313581504734
59980,-107.742084870772
60470,-106.585706628804
60960,-106.50442665837
61450,-107.14572248935
61940,-107.039959667729
62430,-107.112302588708
62920,-107.166518507992
63410,-107.429520686859
63900,-107.299347330468
64390,-106.347008093138
64880,-107.047045406855
65370,-106.579989702868
65860,-106.49784139959
66350,-106.943985895686
66840,-107.231272645826
67330,-107.555928452044
67820,-108.036169252076
68310,-104.995711508609
68800,-107.041707035255
69290,-108.470353359984
69780,-107.566443618001
70270,-107.296457451651
70760,-107.825416855142
71250,-107.519948090828
71740,-107.826825542379
72230,-106.692532725095
72720,-106.771216029346
73210,-107.531660215972
73700,-107.275416406685
74190,-107.789822013933
74680,-107.073734914195
75170,-107.607595346221
75660,-108.05023165495
76150,-107.552994192919
76640,-107.845064793542
77130,-107.087760626673
77620,-106.720783291365
78110,-107.744874228921
78600,-107.937986634078
79090,-107.299360608734
79580,-107.066769616975
80070,-107.138711431856
80560,-107.368271040966
81050,-107.328387906656
81540,-107.400022658708
82030,-107.326824562758
82520,-107.631306646894
83010,-106.729519296358
83500,-107.195950710175
83990,-108.259168174382
84480,-107.249650591569
84970,-107.249686053976
85460,-107.120902512249
85950,-107.697414108452
86440,-107.338682134377
86930,-107.537693863137
87420,-107.500010458144
87910,-107.498579184321
88400,-107.522044124629
88890,-107.683679567622
89380,-107.028694752386
89870,-107.419677573715
90360,-107.761436755253
90850,-106.610630617378
91340,-106.910062699963
91830,-108.23644073936
92320,-107.524377591821
92810,-107.478922763238
93300,-107.909104668277
93790,-107.979120391868
94280,-108.116867253393
94770,-107.745489592784
95260,-107.824884349365
95750,-107.339340641941
96240,-107.112624742892
96730,-107.182373287547
97220,-107.152389899863
97710,-108.074691967872
98200,-107.727439442235
98690,-107.857751816795
99180,-108.234197582687
99670,-107.445193806766
100160,-107.954079436644
100650,-107.496604871184
101140,-107.643207832557
101630,-108.319658647131
102120,-107.679906047052
102610,-107.955659052528
103100,-108.281400310986
103590,-107.68049858154
104080,-108.045059437218
104570,-108.301502816733
105060,-107.788499878006
105550,-108.604280160534
106040,-107.692177669484
106530,-108.131212884044
107020,-107.743788454122
107510,-107.664309482639
108000,-107.164802953432
108490,-108.325501981349
108980,-108.08276621216
109470,-108.059914841792
109960,-107.407772603316
110450,-108.892087512982
110940,-108.466677019664
111430,-107.961683661247
111920,-107.677280770283
112410,-108.080263192711
112900,-108.428254600345
113390,-108.18130635603
113880,-108.485949671564
114370,-108.157860605912
114860,-109.622315754062
115350,-107.928529399698
115840,-108.694386864938
116330,-108.314474977708
116820,-108.3312518762
117310,-108.961847498807
117800,-107.959380194415
118290,-109.128985355575
118780,-107.79684748548
119270,-108.234523062996
119760,-108.089698892308
120250,-108.204429332448
120740,-107.82016668482
121230,-108.822943413651
121720,-107.540221376399
122210,-109.04349445301
122700,-108.957782773974
123190,-108.459737955299
123680,-108.576362937942
124170,-109.053139048054
124660,-109.057177085839
125150,-108.215492242114
125640,-108.927328183717
126130,-108.495465401052
126620,-109.032156616853
127110,-108.753327435957
127600,-108.705319578501
128090,-108.509102752647
128580,-108.820791844449
129070,-108.673336798637
129560,-108.650711800449
130050,-108.758002862248
130540,-109.092258455112
131030,-109.091512544403
131520,-109.179899972175
132010,-108.487319566337
132500,-108.497906800092
132990,-108.280918873403
133480,-108.574669711404
133970,-108.916864380751
134460,-107.95202369587
134950,-108.979762036387
135440,-109.120550127414
135930,-108.271706950106
136420,-108.694168312729
136910,-108.739490797113
137400,-108.827985345565
137890,-109.206933062702
138380,-108.488626597998
138870,-108.467504404407
139360,-108.648532102663
139850,-108.564447250768
140340,-108.582838320502
140830,-109.781388425323
141320,-109.474910098363
141810,-109.003100620288
142300,-108.540551775107
142790,-108.62367000276
143280,-109.709845118972
143770,-110.184611718473
144260,-109.383740366316
144750,-109.274210610069
145240,-109.237909108083
145730,-109.69857629314
146220,-109.109568887126
146710,-109.476150995876
147200,-109.753370279161
147690,-108.329710628709
148180,-109.772783565477
148670,-109.212983136152
149160,-109.361128651917
149650,-108.39816305125
150140,-109.902504702586
150630,-109.201722631204
151120,-109.463249408359
151610,-108.8702954065
152100,-109.075780855864
152590,-109.538990771742
153080,-109.852714466378
153570,-109.521932263772
154060,-109.431256730032
154550,-109.425975449476
155040,-109.042704456199
155530,-110.05480368152
156020,-109.1354163919
156510,-109.900081297244
157000,-109.571955603366
157490,-109.361705067868
157980,-109.69044657306
158470,-109.518078716747
158960,-109.799533187762
159450,-109.879611953281
159940,-109.428870269409
160430,-109.363924974147
160920,-109.633969078593
161410,-109.746207207101
161900,-110.51157202677
162390,-109.532636933017
162880,-109.536869335578
163370,-109.462550997169
163860,-109.348746144889
164350,-110.594670168075
164840,-109.578203707832
165330,-110.159702812058
165820,-108.818195989528
166310,-110.274352505212
166800,-110.060097330158
167290,-110.07156974596
167780,-109.625740608427
168270,-109.38400179525
168760,-109.716051931643
169250,-110.366219077178
169740,-110.145099776496
170230,-110.297634145927
170720,-110.785506248505
171210,-110.735244205859
171700,-109.479760034141
172190,-110.1630798358
172680,-109.676220549699
173170,-109.85945568161
173660,-109.806216760158
174150,-110.343533737594
174640,-109.064105032605
175130,-110.311034423641
175620,-110.007001456568
176110,-110.743786746109
176600,-109.548618524782
177090,-109.557385824665
177580,-110.782081521115
178070,-110.541131881247
178560,-110.117304168074
179050,-110.791199608543
179540,-109.980465784448
180030,-110.983906642315
180520,-110.155105159566
181010,-110.596644988874
181500,-110.613357416189
181990,-110.677341546111
182480,-109.94319461116
182970,-110.09444168896
183460,-110.535221586641
183950,-110.853456845209
184440,-110.870337686686
184930,-110.328417061251
185420,-110.266263297485
185910,-111.209328120559
186400,-110.646643142306
186890,-110.785803448912
187380,-110.083093542868
187870,-110.891032447796
188360,-111.43828988299
188850,-110.687562318518
189340,-111.374962441289
189830,-111.319208426395
190320,-111.120351857731
190810,-110.635865840868
191300,-111.183017867644
191790,-111.281752220114
192280,-111.382503813236
192770,-110.810783803193
193260,-110.863828520758
193750,-111.329060354885
194240,-111.238626985086
194730,-110.829153225321
195220,-111.798517247438
195710,-111.662832535597
196200,-111.466000010794
196690,-111.608918377492
197180,-110.689583950672
197670,-111.320409431222
198160,-110.685105027561
198650,-110.907099381743
199140,-111.279327129741
199630,-111.350666321599
200120,-111.385273096737
200610,-110.725295750945
201100,-111.582888133244
201590,-111.657832090168
202080,-111.2243770755
202570,-111.191157550933
203060,-111.219957971442
203550,-111.254681810472
204040,-111.205328343085
204530,-111.916347935793
205020,-111.75786870642
205510,-111.81923277345
206000,-110.738735381663
206490,-110.987135864969
206980,-111.489664170333
207470,-111.406973118162
207960,-111.070741854802
208450,-111.993154020919
208940,-111.537108083738
209430,-111.708151127598
209920,-111.413111520505
210410,-111.016944491097
210900,-112.082575903914
211390,-110.933057108586
211880,-111.186831918516
212370,-111.830970211178
212860,-111.858721447015
213350,-111.819558491129
213840,-112.39248022234
214330,-111.875415133973
214820,-111.260401679565
215310,-111.643927565872
215800,-111.657190783389
216290,-112.181362467412
216780,-112.148059685087
217270,-111.62589240753
217760,-111.439882907666
218250,-111.976437961899
218740,-111.407567888415
219230,-111.727858431199
219720,-111.765585623554
220210,-111.994392585407
220700,-110.997200146658
221190,-111.538082021532
221680,-111.840889793451
222170,-112.337141574784
222660,-112.198696031034
223150,-111.924283697516
223640,-111.928039891871
224130,-111.577159769999
224620,-111.934594659888
225110,-111.52309918484
225600,-112.518320305612
226090,-112.471629618094
226580,-112.116522340158
227070,-112.474865537475
227560,-111.697278461423
228050,-112.320645053262
228540,-112.072988091144
229030,-112.172409165676
229520,-112.970274883352
230010,-112.684255704189
230500,-111.780700600581
230990,-112.401987090985
231480,-111.943504138392
231970,-112.040953925578
232460,-112.447772004235
232950,-112.840366431465
233440,-112.116869278738
233930,-112.712709290614
234420,-112.212959868996
234910,-112.621261194631
235400,-112.386440485553
235890,-112.727057311129
236380,-112.271986571651
236870,-113.516434501632
237360,-112.675224942927
237850,-112.695327585207
238340,-112.120143194907
238830,-113.056988857754
239320,-112.112230628693
239810,-112.113440961352
240300,-112.863437367807
240790,-112.266797655609
241280,-112.703694231729
241770,-113.222322714647
242260,-112.169225492529
242750,-113.508099025167
243240,-112.982967688532
243730,-112.663004935443
244220,-113.484460224742
244710,-111.99957341206
245200,-112.855480442789
245690,-113.301056124648
246180,-111.925797145619
246670,-112.339203997572
247160,-112.774319337741
247650,-113.128948941366
248140,-111.831143101586
248630,-112.865457777613
249120,-112.844989185672
249610,-112.361304505408
250100,-112.341167770669
250590,-112.536134041025
251080,-112.957253587173
251570,-112.764525052475
252060,-112.98450907307
252550,-112.759385576552
253040,-113.137758463647
253530,-112.585142388581
254020,-113.11520470291
254510,-113.602037304802
255000,-113.11964858065
255490,-113.466105167019
255980,-113.748352232227
256470,-112.99260982106
256960,-113.202552266946
257450,-112.603745520959
257940,-113.432294935068
258430,-113.034296664276
258920,-112.702652407757
259410,-113.736868678561
259900,-113.239402958459
260390,-113.240864518517
260880,-112.837901578546
261370,-113.367370195168
261860,-112.752046326323
262350,-112.946534225136
262840,-112.457047736206
263330,-113.418779132102
263820,-113.337899293111
264310,-113.438548871508
264800,-113.329606783834
265290,-112.909973543837
265780,-113.0733133103
266270,-113.054770287221
266760,-112.766570583073
267250,-113.651437906594
267740,-113.421726119362
268230,-112.565720530265
268720,-113.496529359935
269210,-112.857049170707
269700,-113.074583307364
270190,-113.885813143164
270680,-113.172267487953
271170,-113.383859349109
271660,-112.852721747002
272150,-113.369618259591
272640,-113.572425203373
273130,-113.660298248173
